timestamp,time,temp_C,pressure_hPa,humidity,temp_min_C,temp_max_C,wind_m_s,wind_deg,clouds_percent
1717156800,2024-06-01T00:00:00,13.92,1029,72,12.64,14.84,4.63,210,3
1717160400,2024-06-01T01:00:00,13.4,1029,72,11.34,14.84,3.6,210,2
1717164000,2024-06-01T02:00:00,13.09,1029,73,10.78,14.84,3.09,210,1
1717167600,2024-06-01T03:00:00,13.05,1029,70,10.42,15.07,2.57,220,20
1717171200,2024-06-01T04:00:00,13.93,1029,70,10.64,15.99,4.63,210,100
1717174800,2024-06-01T05:00:00,14.23,1029,71,11.2,15.99,4.12,230,75
1717178400,2024-06-01T06:00:00,14.56,1029,70,12.45,15.99,4.12,220,100
1717182000,2024-06-01T07:00:00,13.98,1029,70,11.34,15.99,3.6,220,100
1717185600,2024-06-01T08:00:00,13.66,1029,84,10.78,15.4,3.09,190,100
1717189200,2024-06-01T09:00:00,14.61,1029,85,12.31,15.95,1.54,210,75
1717192800,2024-06-01T10:00:00,16.07,1030,80,14.51,17.06,3.58,200,57
1717196400,2024-06-01T11:00:00,16.75,1029,78,15.51,17.06,3.09,240,75
1717200000,2024-06-01T12:00:00,17.6,1028,74,16.51,18.5,3.09,230,69
1717203600,2024-06-01T13:00:00,17.58,1027,75,16.51,18.97,4.12,240,40
1717207200,2024-06-01T14:00:00,16.92,1026,76,15.51,17.62,5.14,240,100
1717210800,2024-06-01T15:00:00,16.3,1027,78,15.51,16.83,5.66,250,100
1717214400,2024-06-01T16:00:00,16.34,1027,78,14.51,17.06,3.09,250,100
1717218000,2024-06-01T17:00:00,14.93,1026,84,13.97,15.31,3.09,260,100
1717221600,2024-06-01T18:00:00,14.52,1027,72,12.86,15.44,1.54,280,100
1717225200,2024-06-01T19:00:00,14.02,1028,74,12.94,14.32,4.12,250,100
1717228800,2024-06-01T20:00:00,13.45,1027,75,12.39,14.32,1.79,270,100
1717232400,2024-06-01T21:00:00,13.56,1027,77,11.51,14.32,2.24,262,100
1717236000,2024-06-01T22:00:00,14.13,1027,74,12.69,14.88,3.58,270,100
1717239600,2024-06-01T23:00:00,13.94,1027,75,10.64,14.88,3.13,293,40
1717243200,2024-06-02T00:00:00,13.65,1028,74,10.51,14.51,2.68,293,40
1717246800,2024-06-02T01:00:00,13.82,1028,75,12.69,15.07,1.79,270,75
1717250400,2024-06-02T02:00:00,13.96,1028,75,12.31,15.23,2.06,300,75
1717254000,2024-06-02T03:00:00,14.01,1028,74,12.31,15.78,2.68,270,40
1717257600,2024-06-02T04:00:00,14.61,1027,75,13.21,15.78,4.63,260,100
1717261200,2024-06-02T05:00:00,15.35,1027,74,14.19,15.99,5.14,260,75
1717264800,2024-06-02T06:00:00,15.43,1027,74,14.19,16.34,5.66,270,40
1717268400,2024-06-02T07:00:00,15.22,1027,74,14.51,15.95,4.12,260,40
1717272000,2024-06-02T08:00:00,15.66,1028,73,14.86,16.51,4.12,260,40
1717275600,2024-06-02T09:00:00,16.01,1028,74,15.31,16.55,3.6,250,75
1717279200,2024-06-02T10:00:00,17.05,1028,88,16.2,17.62,4.63,250,75
1717282800,2024-06-02T11:00:00,17.6,1028,86,16.51,18.17,4.12,240,75
1717286400,2024-06-02T12:00:00,17.93,1028,85,16.51,18.73,4.63,240,100
1717290000,2024-06-02T13:00:00,18.71,1027,83,16.51,19.28,5.14,240,75
1717293600,2024-06-02T14:00:00,18.56,1026,81,17.64,18.77,2.68,257,100
1717297200,2024-06-02T15:00:00,18.26,1026,83,17.29,18.64,6.17,260,75
1717300800,2024-06-02T16:00:00,18,1026,83,16.51,18.73,4.63,250,75
1717304400,2024-06-02T17:00:00,17.09,1026,87,16.2,17.53,5.14,250,75
1717308000,2024-06-02T18:00:00,16.82,1026,88,15.51,17.62,5.14,250,100
